2022-10-25 09:23:48 install ucf:all <none> 3.0043
2022-10-25 09:23:48 status half-installed ucf:all 3.0043
2022-10-25 09:23:48 status unpacked ucf:all 3.0043
2022-10-25 09:23:48 install libcurl3-gnutls:amd64 <none> 7.74.0-1.3+deb11u3
2022-10-25 09:23:48 status half-installed libcurl3-gnutls:amd64 7.74.0-1.3+deb11u3
2022-10-25 09:23:48 status unpacked libcurl3-gnutls:amd64 7.74.0-1.3+deb11u3
2022-10-25 09:23:48 install liberror-perl:all <none> 0.17029-1
2022-10-25 09:23:48 status half-installed liberror-perl:all 0.17029-1
2022-10-25 09:23:48 status unpacked liberror-perl:all 0.17029-1
2022-10-25 09:23:49 install git-man:all <none> 1:2.30.2-1
2022-10-25 09:23:49 status half-installed git-man:all 1:2.30.2-1
2022-10-25 09:23:49 status unpacked git-man:all 1:2.30.2-1
2022-10-25 09:23:49 install git:amd64 <none> 1:2.30.2-1
2022-10-25 09:23:49 status half-installed git:amd64 1:2.30.2-1
2022-10-25 09:23:49 status unpacked git:amd64 1:2.30.2-1
2022-10-25 09:23:49 install libapr1:amd64 <none> 1.7.0-6+deb11u1
2022-10-25 09:23:49 status half-installed libapr1:amd64 1.7.0-6+deb11u1
2022-10-25 09:23:49 status unpacked libapr1:amd64 1.7.0-6+deb11u1
2022-10-25 09:23:49 install libaprutil1:amd64 <none> 1.6.1-5
2022-10-25 09:23:49 status half-installed libaprutil1:amd64 1.6.1-5
